参数1_文本,参数3_文本,参数5_文本,参数7_文本,参数8_文本,参数9_文本,参数10_文本,参数11_文本,参数12_文本,参数13_文本,参数14_文本
下Sem申請讀一至兩科仲有無Hall住？,不過你send email問下,聽講就會即term,咁你交咗錢同申請咗fewer credit未？,1,9,,,,,
63425 DSA fg放A range sources,pm,"你地係幾時entry,  2020 yr1 定non-jupas入呢",我可能識你….,2,14,,,,,
最近先收到hall offer,唔會好怪，但你預咗d人埋曬堆，冇人理你。但如果你本身有frd pair up咪ok,唔好啦，我都係今個禮拜先Move in,完sem先嚟入住會唔會好奇怪,1,3,,,,,
收hall offer,pm,放舊hall offer 有意pm,Push,1,14,,,,,
收hall offer pm 女,pm,pm,Pm,1,6,,,,,
有冇人知補考會係幾時？,咁快🤔,一個星期後,小弟我申請左補考。有冇人試過申請補考之後大概補考日期係幾時？,1,4,,,,,
Lgt4005考試討論區,唔知,究竟係咪40%pass,,,,1,2,,,
Year 4仲有無機會去exchange,Senior entry有冇得唔defer去exchange🥲,係咪GEO到時會出email通知？,B,1,27,,,,,
Waitlist 300幾 sem2有冇機會住到hall￼?,有意,Pm 有意,可以放比你,1,5,,,,,
ser learn comp2s01,"Subject lecturer 係咪Peter Ng,佢幾好人下Grade 應該還好 ，你如果唔係Comp or EIE 同學的話可以被人carry😏",幾乎一定爛grade,,,,1,21,,,
__,學敏想調物華,民殷想調學敏！,,,,25,45,大家轉到自己想住嘅hall未,,
點解咁多人收hall offer,有冇諗過全部一個人開，邊有咁多人收女hall,唔驚被人捉到咩？咁猖狂,,,,1,2,,,
搵新hall study buddy！,pm唔到🤦‍♂️,Pm again,Pm,1,11,,,,,
高價收bfin和lgt2425 final source,高價求,最好有答案,,,,1,2,,,
下Sem申請讀一至兩科仲有無Hall住？,不過你send email問下,聽講就會即term,咁你交咗錢同申請咗fewer credit未？,1,9,,,,,
63425 DSA fg放A range sources,pm,"你地係幾時entry,  2020 yr1 定non-jupas入呢",我可能識你….,2,14,,,,,
最近先收到hall offer,唔會好怪，但你預咗d人埋曬堆，冇人理你。但如果你本身有frd pair up咪ok,唔好啦，我都係今個禮拜先Move in,完sem先嚟入住會唔會好奇怪,1,3,,,,,
收hall offer,pm,放舊hall offer 有意pm,Push,1,14,,,,,
收hall offer pm 女,pm,pm,Pm,1,6,,,,,
求APSS1B12 Media Source🙇🏻‍♂️,Pm,I have,pm🙏🏻,2,6,,,,,
收紅磡hall offer 女,Pm有意,pm,,,,1,14,,,
International WIE,點解個Deadline不停extend🤔,,,,,,,,1,1
女仔收舊hall offer 10000,"推,有意pm",Pm,Pm,1,4,,,,,
收hall offer女🥺🥺,搵左,.,97160605,1,7,,,,,
收BREsources,Pm 2031,pm 2031,有 BRE263 BRE2031 A grade sourcepm plz,1,5,,,,,
收hall offer 女,放舊hall offer 女 有意pm,Push,Pm咗~,1,5,,,,,
Company law,Pm,可吾可以preview下🙇🏻‍♀️,想問下係樣嘅,1,6,,,,,
收 itc3046 source,收gp project🙏,,,,,,,,1,1
代做essay/assignments/online代考,道德唔公道,價錢公道，請PM,,,,1,2,,,
Re唔 report present 甩底人渣？,話寫五個reference 寫兩個話 present ，問佢確定？唔確定我 present? 佢即刻話確定Present 臨時甩底，你老味，係咪要人,,,,,,,,1,1
求LSGI1D03 source,我諗應該係考曬掛 如果淨係考test 1之後教嘅嘢好似真係有啲少（？,佢0講範圍完全唔知想點（可能佢上堂講我走左所以唔知🌝）但連recording都冇我真係覺得好lost,同問今次quiz嘅範圍,2,6,,,,,
水會,比堅尼游水會？,想問 想join多啲水會我應該要去咩soc,,,,1,2,,,
收fun with language quiz 2汁,你地quiz2 幾多分,Sor遲左覆😂,Ching做左asm2未🤧,1,5,,,,,
放 MM2021 M&O final,Pm,Sent,Pm,1,8,,,,,
求physio source,求physio source,,,,,,,,1,1
Polyu 班房,似係一啲啲，有啲房長開，但有啲房有時會鎖,想問吓polyu 班房如果冇人book 係咪可以用明明poly CBSE app 講明 “This allows students to leverage available classrooms for informal learning activities and group assignment discussions after class.”但今日實Q走入嚟話，冇prof book 就要清場 （爆房app 明明話available 冇人book)打埋去control panel 都咁講🥲有冇人有類似經驗,,,,1,2,,,
BME1D01 quiz 點考,想知係考mc定long q 定兩樣都有,,,,,,,,1,1
求LGT3023 source,Push,,,,,,,,1,1
收Bme1d03 source,Push,Dm俾proof出價👋🏻,,,,1,2,,,
AMA科代做,Pmed,Pm,Pm,3,102,,,,,
高價收af3110 IA1 source ￼,Pm,Pm,撳咗啦,1,11,,,,,
昕姐似幾多歲,女人四十,四十,,,,1,2,,,
參加過19年抗爭既，之後係咪會拉去勞改？,手Joke 😭😭😭,係，拉曬班垃圾去監無得移民,,,,1,2,,,
收lgt2106 source,如題🙏🏾🙏🏾,,,,,,,,1,1
"頭先昕姐怒插第8組d人唔識HIFU,有無人聽到😹",抵鬧啦，佢兩個都好有耐心教得好好，呢科hea讀都有a range🙄,好似話present緊班人唔識答hifu同massager既分別所以問其他gp識唔識答？,Hifu都上堂提過抵插,1,5,,,,,
收 APSS1H34C Governing China🙏,Pm please 🥺,Pm,Pm,2,40,,,,,
__,"食過warn, appeal 左兩次都係得off campus housing offer，有冇方法住得返hall?  上年sem1同人夜晚係lift口玩太嘈同冇戴口罩，但見冇PMO趕就冇理到，點知食左warn，封信寫再犯就會可能term，同final warn唔同，fw 係will term. 果時諗住冇咩影響就冇理到。到今年從其他Scheme拎到 hall offer但最後hall唔批，因為有warning record。揾左counsellor 同professor 寫左信，交左一大堆文件，最終得OCH offer. 4000月租，係佐敦又唔方便 返學又遠，平時做野都係九龍塘，觀塘，灣仔果邊，住佐敦點都唔夠Hall方便。到第二次睇精神科，診斷有適應障礙症同焦慮症，同埋疑似係過度活躍。果次主要睇情緒就冇理到個adhd，但就算交埋醫生紙都淨係得OCH, 冇hall offer。我打email或者電話去hall都係問非所答。想知大家有冇啲咩經驗/ 好橋分享下？thx🥲🥲",,,,,,,想知食過warn 可以點住返hall?,1,1
__,pm,ise1d02?有A- Source with proof,,,,1,4,Renewable energy source,,
ELC Sara Johanna Sandberg,又抹黑佢？,有冇人知佢係咪killer,,,,1,2,,,
放棄麻煩group project ？只佔 10分,Ching好心👍勸勉❤️,唔好啦，攞得一分得一分，真係試過爭三分同朋友爭兩個sub grade,商科,2,20,,,,,
求 lgt2106 source,push(;´༎ຶД༎ຶ`),,,,,,,,1,4
有冇人今日上IA  有花生食🤣,Seek approval for blaw online exam?,Bruce咁型咩🤣,咩叫 seek on9?,2,8,,,,,
ABCT1101 quiz 出分區,如何開poll?,,,,,,,,1,1
收source,求收ISE450 source 🙏🏻,,,,,,,,1,1
求AF2108 ass1 答案,pm,$ not prob,push,1,3,,,,,
求ISE328 source,Individual 0知做緊咩😵‍💫救命,,,,,,,,1,1
好撚多仆街係 polyu goop撩交咬,係,係,,,,1,2,,,
放IA source 有A+ proof,Pm,Pm,Need IA2 pm thx,1,22,,,,,
Bfin MT 滿分幾多,50呀,你幾多,50,1,4,,,,,
點解一科 2 credits 嘅 ELC 都可以咁 chur,又唔見其他 3 credits 嘅主科咁撚 chur？,,,,,,,,1,1
收elc3222 source,pm,有a source,Pm,1,10,,,,,
收hall offer 新舊都想要 女,推,Push~~~,Pm if interested,1,3,,,,,
收AF3317 Source,🙏🙏感激各位大佬,,,,,,,,1,1
有冇人知點補領學生證？,同問,有冇得再upload過張相,有冇得再影過張相,6,6,,,,,
Sem2丹麥exchange anyone,dm,,,,,,,,1,1
處景題:唔洗 present全日得一堂，無住 hall走堂？,上team會開心好多,Professor好開明，唔介意我唔 present,Project 大部份我做已 com好我唔洗 present唔剔 attendance無住 hall住得遠全日得呢一堂走唔走堂,1,3,,,,,
100幫人做MYOB assignment,Af3211 myob assignment,,,,,,,,1,1
Mff搵一女(高質）,#NAME?,我係ba 想玩,Private chat me,1,4,,,,,
收購眼仔 sources,Pm,Pm,pm🙏🏻,3,21,,,,,
收AF3210quiz source,Pm,Pm,,,,2,2,,,
Late drop pre-assigned,會唔會要證明？😵‍💫,有病,有冇人試過成功late drop pre-assigned嘅科 有咩原因大機會啲？,3,,,,,,
__,Push,咁當然識google，識上stackoverflow呢到癡d個到癡d，都係好重要的。,"最基本既要求係：你讀書期間，要寫過咁上下program。唔係Python都得，不過你要d時間pickup。如果只係take過CAR或者1字頭 (e.g. LGT1041)，之後一路都冇做過任何要寫program既野（姐係所有coursework都冇要求你寫program，不論大小), WIE冇，FYP都冇。咁就算我請左你，你可能都會番得好辛苦。比個例子你。我地會用SimPy去砌個模擬模型既，所以完全睇唔明下面既documentation就死得人多。https://simpy.readthedocs.io/en/latest/examples/gas_station_refuel.html",2,5,,,望過黎啦喂，請人呀 （Programmer @ LMS),,
有冇人睇過學校牙醫,我洗牙遇到嘅牙醫都幾好，就上星期,啱啱睇完 好彩個牙醫幾nice 係個助手/姑娘態度麻麻地,為咗快 落手會重好多 但學校牙醫平好多 睇你自己點取捨,2,5,,,,,
求LGT3007 source,Pm,Pm,可以pm我 A 有proof,1,3,,,,,
上完fitness training點拎張cert?,Thanks ching,近舊can嗰度,去va counter問下,2,4,,,,,
求af2108 source,pmpm,Have arrrr,😭🙏🏽想問各位大佬有冇,1,3,,,,,
放Apss1a27 CBS1A01P Abct1d08汁,pm,pm,Pm plz,2,22,,,,,
收bre271 source,Pm,Pm me for A grade sources,,,,1,2,,,
accounting 畢業禮有冇多張飛？,"Really need that ticket, pls pm",Pm,我有,7,,,,,,
想搵programming gun,Pm plx,做咩偷我post,pm me plz,1,5,,,,,
覺唔覺得學校好細？,係5科30,有d 科收六科三十分個喎,Poly 三寶？？？,3,24,,,,,
求LSGI2961 疏屎 (可換BRE/CEE疏屎比你),有cse30303嗎 thanks🙏🏻🙏🏻,有意pm🙇🏻🙇🏻,有無 bre source 可放 Thank you,1,7,,,,,
想揾cse科目assignment source🙏🏻,有cse30303?,push,🙏🏻,1,4,,,,,
想問apple野有冇人要夾個airpod,500收 有意pm,$？,,,,1,6,,,
有無人SEM2去挪威exchange🥹,Dm,Dm,求同伴,1,3,,,,,
Gecon midterm,大家幾多分？,,,,,,,,1,1
__,pm,Pm,Pm plz,1,17,,,收Apss2s09 source,,
Bre265收gp project source,pm,Pm,Pm,2,24,,,,,
BRE Midterm/Exam Range,"今年第一年入去BRE, 想問咁多位師兄師姐知唔知大約幾多分屬於咩range🙏",,,,,,,,1,1
(Year 1學生入)做問卷拎$100超市coupon,Push,Push,Push,1,10,,,,,
__,有冇人想調房？我係男 green 三人房,Red triple room,有冇人想調green 男 三人房,5,59,,,￼有咩何文田hall比較好？,,
有冇人sem 2 去HEC Montreal,我sem2去！,🙋🏻‍♂️,有冇人sem1去,1,9,,,,,
AIS midterm幾多分,個mean咪又係得33 冇40都唔好話高分啦,好似都多人高分？,,,,1,2,,,
Afs terry食下莊kk,Many years ago Ching,有圖有真相,圖?,1,4,,,,,
聽日比個8號我！！！！,ig kai_chungg,你真係好幽默 想識,2 號,1,3,,,,,
放宿位(女+￼勵志hall),pm,小弟真心想住學敏 有位pls pm,學敏轉任何hall🙏🏻☺️,1,6,,,,,
挽Fb有咩好處？,返去facebook 啦,real 7,下年想join佢地個淫o,2,5,,,,,
有冇人2022-23 sem 2去英國 exchange,southampton🙌,我去birmingham嗰頭,,,,1,2,,,
"拉把成日都好多人, 有冇c 都係拉把？(唔約傾下計互打氣)",Yoo pm,去拉把都要招c siu4,有棍c,2,6,,,,,
有無人想下個sem玩case comp,pish,Year1，非商科，想試下玩要負責任！唔好潛水！有意pm,,,,1,2,,,
求Lsgi2224 3313 3333 source🙏🏻,我想要,pm,pm,2,33,,,,,
FYP問卷填寫，感恩！,Thanks,📷,Done,1,7,,,,,
AFA MT,D都可以係pass,無 代表ca pass左,收到email?,1,6,,,,,
__,yess,which school,me,1,23,,,有無人sem2 英國,,
高價收這次AF3211 AIS的midterm題,Pm,Pm,告訴考了哪些題就行,1,3,,,,,
有冇人想打籃球啊,聽日邵館4:30-5:30有場，想打可以pm我,,,,,,,,1,1
"收comp2011,2411 source",Hi,Hi,可以pm我🎈,4,,,,,,
誠收宿位,pm傾下,點收法,,,,1,4,,,
幾時先有得apply去exchange,睇你想去邊同邊個sem去exchange，sem1要早啲，sem2就大概2-4月，詳情要參考返你自己既faculty/department,12-1月,同問,2,4,,,,,
收LGT2106 midterm source,求source,Hi have,还是显示已请求,1,11,,,,,
LGT 3028 exam,想問有冇sources 買,Tip題,我都想知,1,5,,,,,
急收BME1D03 mid term sources!!!,Pm,可以😂,Pm,1,11,,,,,
求BME1D03 smart ageing source,Have ma ?,Pm,Pm,1,64,,,,,
有無人識康康,Parkour之鬼,兆康,,,,2,2,,,
__,Exchange,Both,點解你會揀minor嘅～,2,6,,,Exchange 定minor 好！,,
邊科EREW好讀 workload少 唔爛grade?,BME1D02,"得EREW essay 做, 仲有課後quiz 4題，好簡單",Life and death,6,35,,,,,
收CLC1104C& ELC1012 source,Pm🔥,可以pm我 A 有proof🎈,,,,1,19,,,
潤嗎？,捉去,驚唔驚有饑荒？驚唔驚俾外國制裁？驚唔驚被祝去打台灣？,Run,1,3,,,,,
收LGT 3107source,收group project,,,,,,,,1,1
收mm2021 a source,"淨係收上年嘅source, pm",,,,,,,,1,1
Study partner / 飯腳,"Hello, I sent the dm to you",lms c heree,C too Pm!,2,26,,,,,
求AF4317 source🙏🏻🙏🏻,樓主 pm me plz,,,,,,,,1,1
__,0.1蚊幫你,Taobao 0.25一條,依家仲有無做,2,5,,,一蚊一題chegg，有意pm🥰,,
收LSGI1D03 sources,Pm,Hello 想問係咪有lsgi1d03 source?,Pm,1,8,,,,,
成德堂p哥wailok食民殷coty,我依家咪開po守護緊佢囉 你仲想點守護？成立個大聯盟？,你都on9 民殷同成德隔咁遠 咪係即係佢好有部署地食coty,世界就係咁 你咁睇唔過眼咪去守護佢囉 如果唔係 關你咩事呢毒撚😅😅,2,17,,,,,
有冇人可以代做AIS assignment,可以pm我 A 有proof,可以pm我 A 有proof,Pm,1,12,,,,,
求LGT2009 source,Pm,想要LGT2009 source,,,,1,2,,,
有冇讀 Finance 嘅同學仔 可以傾下？,AF 無 financial management,點解覺得我唔係Poly😂😂😂,呢到Poly，HKCC去番自己Goop啦,7,,,,,,
填問卷攞$150 coupon！,幾時先有？,10 月都未有😂,仲未收到有關coupon嘅通知,2,29,,,,,
成德堂kit jai好似想溝勵志evp edith,成中都jedith d相話好正,,,,,,,,2,1
放BRE271 source,Pm,Pm,Pm,1,21,,,,,
收BRE271 source,Pm,Hi,我上年A+ need?,1,6,,,,,
AF1605 midterm 驚唔驚？,聽日先睇啦,但係好眼瞓,好撚淆,1,3,,,,,
求lsgi1d03  source,pm,Pm,pm,2,12,,,,,
Wie late application點算,想問下你哋個50字寫啲咩🙏,想問份form邊度可以穩到,照apply之後有份野好似50字解釋就得,1,3,,,,,
SHTM Minor,因為year3都想去exchange呀 所以都諗緊,即係你冇打算defer?,其實唔可以話無時間只係之後會chur好多但因為我唔想為minor chur咁多 所以先木心drop,2,8,,,,,
PolyU internal transfer 一問,Poly 冇internal trans,year 2 想五寶trans 去五寶GPA 3.4~3.5DSE weighted score 根據以往嘅分數係夠嘅不過如果可以我唔太想rejupas想問大家我呢個成績有冇可能trans到? 同埋洗唔洗interview㗎,,,,1,2,,,
Healthy lifestyle wrap up,琴日,+1 想問幾時有得reg,Final year仲未reg到wrap up lecture點算？or有無人放？,1,3,,,,,
收APSS112/ APSS1A08/MM2711,有Mm2711,收APSS112/ APSS1A08/MM2711 source,,,,1,2,,,
af3110 SEM002换SEM001,可出錢收,PM me plz！！,,,,1,3,,,
bme1d03 smart ageing quiz,想問有冇人知道佢話open book non online mcqs quiz咁可唔可以用電腦/電話睇notes 定係只可以用紙notes?,,,,,,,,2,1
有冇人可以代做AIS assignment,CS major pm me,Pm,Ican,1,4,,,,,
高價收AIS midterm source,Pm,有既pm,,,,1,2,,,
Year 1做問卷拎100coupon!,Poly 依家有關於肺炎問卷調查For year 1學生做。填好下面條link就可以攞到100蚊超市coupon🤪只要喺最後Referrer Code打返 R19 同埋coupon option個到㩒yes 打返poly email 就得！🥺🤪感謝大家🥰https://hkpuhealthandsocial.au1.qualtrics.com/jfe/form/SV_7TEufnRLUM0WoBM,,,,,,,,1,1
收眼仔mid term quiz source,SO2S01,如題！,,,,1,2,,,
求LGT3001 source🙏🏻,求LGT3001 source🙏🏻,,,,,,,,2,1
__,Pm,Pm,Pm,1,15,,,收af3210 quiz source,,
收AF 1605 source,pm,Pm,,,,1,2,,,
收Ais af3211 source,Pm if you have a range source 🙏🏻,,,,,,,,1,1
收ELC3221 sources !!!!,!,Pm,,,,1,2,,,
求lsgi1d03 source🙏🏽,pm,Pm,Pm,1,6,,,,,
想問下有冇人有mm2021 M&O source🙏,Pm me,平放a range source,pm,2,18,,,,,
收tango source!!! A range,Pm,"收MM1051, pm",,,,1,2,,,
放CBS1A01P FUN WITH LANGUAGE,pm,求Cherie wong教嘅source,乜依家仲可以咁挽咩,6,16,,,,,
Computing揀咗major嘅人入一入嚟🙏🏻,加油🫠,係啊🥹🙏🏻,非computing人但要讀 屌出聲🥹,2,26,,,,,
AIS Database Asm 討論下,我諗係,"啲數係咪自己作?E.g Customer name, bank account number etc",,,,1,2,,,
有冇人讀緊 AF4106,有緊一齊溫mid term + share source,,,,,,,,1,1
4個sem 升到0.4 WGPA嘅機會大唔大,完全可以搏 一定有機會升gpa,多謝你地😭✨起碼我而家知道係可行的🙏🏻,我都係啱啱好追到2nd up grad，3/4字頭嘅course攞多啲A同B+應該可以，加油🙌,1,7,,,,,
(求解答) Defer學費係幾多,defer冇得申請任何政府資助,冇,我都想知,2,12,,,,,
FA mid term 計到咩,Financial Accounting,咩係FA? AF?,45896,1,4,,,,,
急要AIS and IA2 source,PM,Pm,,,,1,10,,,
__,pm,Pm,pm,1,24,,,mm2021 a+ source 有意請pm!,,
AIS 代做,Pm,pm,pm,1,6,,,,,
收sn3208 source,🙏🏾🙏🏾,,,,,,,,1,1
放af4228 audit 21/22final paper,Pm,,,,,,,,1,1
有無freshman 覺得睇英文書好難？,大專都係全英㗎喎,我都係中中，而且又係band3，但係唔會話唔慣，基本上大學嗰啲英文都係fundamental level既英文，你入得u，英文有個3，應該搞得掂既,講到咁好你不如去抗爭下？,3,9,,,,,
有冇Elc1011 source?,點解要買,err 個tutor唔係比咗example上bb咩,I have,1,19,,,,,
想搵新hall local一班人一齊挽！,u year1?,Pm,pm,1,11,,,,,
嚟,捉姦？,wtsapp同女朋友玩捉，捉左廿年未搵到,rules of survival,50,72,,,大大家玩緊邊隻手遊?,,
放IA1+2 source,Pm,Pm,Hi,1,9,,,,,
有冇人讀過m2 可以教下我,話說我今年yr1 冇讀m2 完全唔知AMA1131 個個caculus點算…有讀m2個啲自己都搞唔掂😶但就來mid terms test 我唔想炒…點做好,,,,,,,,1,
有無人有興趣account intern🌟跨國企業🌟,有興趣申請嘅話 可以Wts64057308 Kelwin❤️‍🔥 即刻幫你跟 ❤️‍🔥💼 #高汁全職兼職推介🔍 #務求幫你搵到最啱嘅工🌟 #Freshgrad唔洗怕gaptime💌 Dm搞掂 穩穩陣陣 唔曬時間🌍 我要人 你要工 🌍定期放pt/fulltime㊗️人人靚offer🫶🏼👇🏻快啲share埋條Link搵工群組比frd子拍住上👇🏻https://chat.whatsapp.com/L37Ibn3x3Q06DIWueKOCGB,pm,"Accounting Openings🌟 *1) Assistant Accountant (ARAP/Full Set)*Salary : 17-27K X 13 (Depends on exp)Culture : MNC / Western CultureLocation : Kowloon BayRequirement : 1-5 years Degree Holder with accounting exp, fresh graduate also welcome (17K offer)*2) Accounting Supervisor*Salary : 22-24K X 12 (Depends on exp)Culture : Stable, Less OTLocation : Wan Chai Requirement : Diploma or above, Previous work experience as an Accounting Supervisor*3) Internal Auditor*Salary : 35K X 12 (Depends on exp)Culture : Stable, Less OTLocation : Wan Chai Requirement : 4-5 years exp with degree holder *4)Internal Audit Junior (1-year Contract Renewable)*Salary : 15-20KCulture : Japanese sizable firm, good career pathLocation : Wan Chai Requirement : Fresh Grad / Diploma with 1-2 years expFresh Grad 無任歡迎‼️Fresh Grad 無任歡迎‼️Fresh Grad 無任歡迎‼️",1,3,,,,,
